"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","问题列表","正常case(展示category为板块)","0","0","1","0","0"
"","问题列表","正常case(默认不传参)","0","0","1","0","0"
"","问题列表","正常case(展示第二页数据)","0","0","1","0","0"
"","问题列表","正常case(展示isKeyword关键问题)","0","0","1","0","0"
"","问题列表","正常case(展示category为大盘)","0","0","1","0","0"
"","热门问题","正常case","0","0","1","0","0"
"","问题列表","正常case(展示isExample示例问题)","0","0","1","0","0"
"","问题列表","正常case(展示isHot热门问题)","0","0","1","0","0"
"","AI介绍页、欢迎语","正常case","0","0","1","0","0"
"","AI机器人聊天","正常case_个股地区","1","0","0","0","0"
